date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,latitude,longitude
2024-11-03,52.33573698972026,21.025,14.308333,22.340166,80.77371,10.820674,0.9,1013.9041,475.91666,18.383333,5.975,52.0,0.0,1.6833333,2.2333333,,,,,,,,18.577667,24.08898,0.9,0.0,12.0,913.59393,59.166668,39.75,27.666666,9.041667,,0.15566312,0.5901374,16.968359,87.314735,90.418365,21.21,24.246416,0.39558336,Bangalore,12.9716,77.5946
2024-11-04,51.92129654634712,21.304167,14.150001,21.940168,79.04783,11.779572,0.8,1013.2209,536.7917,16.866667,7.1708336,55.083332,0.20833333,1.5770832,2.1395833,,,,,,,,17.811,23.237104,0.8,0.0,13.458333,912.84784,33.833332,18.541666,17.0,6.875,,0.16299263,0.6343182,19.263056,90.15325,90.99585,22.815,24.20475,0.38804165,Bangalore,12.9716,77.5946
2024-11-05,95.39226724701426,49.245834,32.679165,21.683916,69.06921,10.582967,0.0,1013.73334,646.7917,31.375,11.474999,46.875,1.1666666,1.7395834,2.0791667,,,,,,,,15.356834,22.156364,0.0,0.0,1.0416666,913.2239,33.791668,15.666667,14.083333,11.666667,,0.17693631,0.90248203,18.673105,56.614944,54.64165,20.505,23.900583,0.373125,Bangalore,12.9716,77.5946
2024-11-06,105.19586918428752,59.583332,37.066666,22.833918,67.4468,11.154647,0.1,1013.675,660.3333,20.1875,9.900001,79.083336,2.6666667,1.6625,1.96875,,,,,,,,16.027666,23.608017,0.1,0.0,4.0833335,913.54315,67.416664,28.208334,46.333332,35.666668,,0.18935554,0.99464196,18.883722,50.209064,50.299637,21.314999,24.538084,0.3561667,Bangalore,12.9716,77.5946
2024-11-07,62.00365007051036,28.683334,18.5875,22.252668,78.71429,12.41842,1.3000001,1013.72504,630.9167,17.045834,6.9166665,70.625,0.25,1.6083332,2.0729167,,,,,,,,18.071417,23.516901,1.3000001,0.0,12.416667,913.4033,73.541664,14.333333,14.833333,54.708332,,0.15274538,0.64791065,20.964788,61.12584,61.145844,24.12,24.206833,0.346,Bangalore,12.9716,77.5946
2024-11-08,44.151976294921674,18.125,11.570834,22.74225,71.62728,12.501781,0.0,1013.37085,572.1667,17.445833,5.6583333,60.958332,1.0,1.7729167,2.1833332,,,,,,,,16.67975,23.570292,0.0,0.0,2.5833333,913.23364,85.416664,4.125,7.0,84.541664,,0.19815402,0.92720026,21.46888,70.28397,71.19677,23.43,24.719336,0.33470833,Bangalore,12.9716,77.5946
2024-11-09,52.5605414285619,22.483332,14.5125,21.986,68.25193,11.43559,0.0,1013.76666,558.125,19.074999,5.816667,60.208332,0.7083333,2.0520833,2.1708333,,,,,,,,15.050584,22.310514,0.0,0.0,2.9166667,913.3494,95.958336,0.5833333,3.5416667,95.916664,,0.19303077,0.9845364,20.258356,68.97549,69.017815,21.839998,24.321417,0.31945834,Bangalore,12.9716,77.5946
2024-11-10,91.41203675446688,47.983334,31.295832,21.869333,69.61396,10.943562,0.4,1013.4917,669.6667,20.4375,8.075,77.666664,0.875,1.7312499,1.9229165,,,,,,,,15.51725,22.381142,0.4,0.0,7.2083335,913.0664,34.958332,8.041667,14.666667,18.166666,,0.1851663,0.9118176,19.367035,58.25121,58.217983,20.999998,24.236,0.30895832,Bangalore,12.9716,77.5946
2024-11-11,100.06997957460561,53.279163,35.037502,22.594336,61.578457,11.135442,0.0,1012.31665,735.9583,25.079168,10.983334,75.333336,0.75,1.7958332,2.0,,,,,,,,14.365167,22.708788,0.0,0.0,1.8333334,912.24023,61.625,3.7083333,18.541666,48.875,,0.20406157,1.1500193,19.598356,47.745224,47.75059,21.839998,24.7985,0.30016667,Bangalore,12.9716,77.5946
2024-11-12,45.88737549724063,17.5875,13.2625,22.448502,79.935974,12.852467,1.1,1011.62915,389.04166,16.116667,8.029166,51.083332,0.0,0.6645833,2.225,,,,,,,,18.54225,23.751007,1.1,0.0,16.75,911.58057,90.125,48.208332,34.125,84.5,,0.116957724,0.6003484,20.350077,45.30472,44.660725,27.585,24.333918,0.23341666,Bangalore,12.9716,77.5946
2024-11-13,25.05074766414118,6.35,6.1583333,22.24225,84.9657,12.314858,9.7,1011.48334,296.75,14.841667,6.1583333,33.625,0.0,0.9895833,2.3395834,,,,,,,,19.4235,24.081999,9.7,0.0,11.916667,911.3843,98.0,53.625,16.75,96.625,,0.115891896,0.4471843,20.593855,80.02476,80.7788,30.464998,24.271418,0.205,Bangalore,12.9716,77.5946
2024-11-14,33.82300564918423,8.733334,8.545834,21.890167,87.17643,11.056792,6.0,1013.3459,365.29166,14.979167,5.383333,44.416668,0.0,1.1,2.2354167,,,,,,,,19.5485,23.957153,6.0,0.0,21.791666,912.95135,95.208336,63.833332,18.208334,82.75,,0.109707534,0.36634374,18.344725,82.60935,83.37453,28.125,23.750586,0.21929167,Bangalore,12.9716,77.5946
2024-11-15,31.961805538998714,8.041667,7.6708336,22.05475,86.430176,10.510869,10.0,1013.3416,396.29166,14.241666,4.9500003,47.708332,0.0,1.3583332,2.21875,,,,,,,,19.500584,24.225878,10.0,0.0,21.958334,912.9986,99.0,65.666664,10.416667,79.458336,,0.123237066,0.40697896,17.868742,75.7967,76.24267,27.074999,23.823502,0.23291667,Bangalore,12.9716,77.5946
2024-11-16,39.891826858123146,10.5625,10.170834,22.004751,85.76408,12.382671,3.4,1012.77496,401.70834,15.575,5.4208336,49.958332,0.0,1.2104167,2.1854167,,,,,,,,19.325584,23.84368,3.4,0.0,21.25,912.4722,88.125,61.958332,15.25,55.166668,,0.13494192,0.42253447,20.840292,82.74069,83.66924,30.885,23.933916,0.2185,Bangalore,12.9716,77.5946
2024-11-17,104.95103332527681,37.391666,36.633335,22.519333,79.27488,11.655154,0.5,1012.66254,507.45834,15.266666,6.0458336,82.5,0.45833334,1.38125,1.9333334,,,,,,,,18.419334,24.07637,0.5,0.0,12.375,912.5302,63.916668,49.875,5.6666665,38.041668,,0.15500282,0.64717406,19.73417,78.69895,78.85162,28.335,24.163084,0.20225,Bangalore,12.9716,77.5946
2024-11-18,100.86930189241372,35.9875,35.175,22.277666,76.43541,11.204235,0.1,1013.575,518.125,14.133334,5.3250003,88.875,0.75,1.3395834,1.9125,,,,,,,,17.477667,23.4316,0.1,0.0,4.2083335,913.2753,74.083336,43.291668,6.1666665,58.666668,,0.15455814,0.7271102,19.099628,80.36594,80.93955,27.765,24.140167,0.182375,Bangalore,12.9716,77.5946
2024-11-19,103.3457079748822,37.054165,36.337498,21.921417,72.606476,11.217242,0.0,1013.93335,561.0,14.383334,5.975,89.833336,0.5416667,1.5354166,1.8083334,,,,,,,,16.213083,22.663773,0.0,0.0,2.375,913.48175,76.041664,31.25,8.458333,61.833332,,0.17088805,0.8344514,18.987377,65.69016,65.32699,27.615,24.623499,0.16783333,Bangalore,12.9716,77.5946
2024-11-20,108.66088031160187,39.5875,38.754166,22.031836,71.67405,10.238515,0.0,1013.37915,525.75,16.645834,7.4249997,90.5,0.7916667,1.5479168,1.7583333,,,,,,,,15.877666,22.834564,0.0,0.0,3.0,913.0163,97.416664,38.833332,0.625,92.541664,,0.1761324,0.8939886,17.789785,89.65766,90.72329,25.89,25.206833,0.16283333,Bangalore,12.9716,77.5946
